,LocationID,Borough,Zone,lat,lng
206,207,Queens,Saint Michaels Cemetery/Woodside,40.7646761,-73.89850419999999
207,208,Bronx,Schuylerville/Edgewater Park,40.83665389999999,-73.83378909999999
208,209,Manhattan,Seaport,40.70722629999999,-74.0027431
209,210,Brooklyn,Sheepshead Bay,40.5953955,-73.94575379999999
210,211,Manhattan,SoHo,40.723301,-74.0029883
211,212,Bronx,Soundview/Bruckner,40.8244607,-73.8704334
212,213,Bronx,Soundview/Castle Hill,40.8176831,-73.8507279
213,214,Staten Island,South Beach/Dongan Hills,40.5819188,-74.0804776
214,215,Queens,South Jamaica,40.6808594,-73.7919103
215,216,Queens,South Ozone Park,40.6764003,-73.8124984
216,217,Brooklyn,South Williamsburg,40.7043921,-73.9565551
217,218,Queens,Springfield Gardens North,40.6715916,-73.779798
218,219,Queens,Springfield Gardens South,40.6715916,-73.779798
219,220,Bronx,Spuyten Duyvil/Kingsbridge,40.8794197,-73.9074286
220,221,Staten Island,Stapleton,40.6264929,-74.07764139999999
221,222,Brooklyn,Starrett City,40.6484272,-73.88236119999999
222,223,Queens,Steinway,40.7745459,-73.9037477
223,224,Manhattan,Stuy Town/Peter Cooper Village,40.7316903,-73.9778494
224,225,Brooklyn,Stuyvesant Heights,40.6824166,-73.9319933
225,226,Queens,Sunnyside,40.7432759,-73.9196324
226,227,Brooklyn,Sunset Park East,40.65272,-74.00933479999999
227,228,Brooklyn,Sunset Park West,40.65272,-74.00933479999999
228,229,Manhattan,Sutton Place/Turtle Bay North,40.7580446,-73.960208
229,230,Manhattan,Times Sq/Theatre District,40.7579747,-73.9855426
230,231,Manhattan,TriBeCa/Civic Center,40.7120742,-74.0058985
231,232,Manhattan,Two Bridges/Seward Park,40.7149056,-73.98924699999999
232,233,Manhattan,UN/Turtle Bay South,40.7488758,-73.9680091
233,234,Manhattan,Union Sq,40.7358633,-73.9910835
234,235,Bronx,University Heights/Morris Heights,40.8543673,-73.9130236
235,236,Manhattan,Upper East Side North,40.7735649,-73.9565551
236,237,Manhattan,Upper East Side South,40.7735649,-73.9565551
237,238,Manhattan,Upper West Side North,40.7870106,-73.9753676
238,239,Manhattan,Upper West Side South,40.7870106,-73.9753676
239,240,Bronx,Van Cortlandt Park,40.8964243,-73.8852842
240,241,Bronx,Van Cortlandt Village,40.8964243,-73.8852842
241,242,Bronx,Van Nest/Morris Park,40.8415796,-73.8706949
242,243,Manhattan,Washington Heights North,40.8461314,-73.9373049
243,244,Manhattan,Washington Heights South,40.8417082,-73.9393554
244,245,Staten Island,West Brighton,40.6270298,-74.10931409999999
245,246,Manhattan,West Chelsea/Hudson Yards,40.7527246,-74.0016428
246,247,Bronx,West Concourse,40.8316761,-73.9227554
247,248,Bronx,West Farms/Bronx River,40.8430609,-73.8816001
248,249,Manhattan,West Village,40.73468,-74.0047554
249,250,Bronx,Westchester Village/Unionport,40.8340447,-73.8531349
250,251,Staten Island,Westerleigh,40.621215,-74.1318094
251,252,Queens,Whitestone,40.7920449,-73.8095574
252,253,Queens,Willets Point,40.7606911,-73.840436
253,254,Bronx,Williamsbridge/Olinville,40.8550982,-73.85510719999999
254,255,Brooklyn,Williamsburg (North Side),40.7149187,-73.95286709999999
255,256,Brooklyn,Williamsburg (South Side),40.7111677,-73.9593708
256,257,Brooklyn,Windsor Terrace,40.6539346,-73.9756567
257,258,Queens,Woodhaven,40.6901366,-73.8566087
258,259,Bronx,Woodlawn/Wakefield,40.8955885,-73.8627133
259,260,Queens,Woodside,40.7532952,-73.9068973
260,261,Manhattan,World Trade Center,40.7118011,-74.0131196
261,262,Manhattan,Yorkville East,40.7702799,-73.9507983
262,263,Manhattan,Yorkville West,40.7762231,-73.94920789999999
263,264,Unknown,Unknown,36.3114126,-95.61362369999999
264,265,Unknown,Unknown,36.3114126,-95.61362369999999
